评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2176617085,String_C,女,北京,11656,1311,828,都来看看良心媒体发言 另外补充 猥琐男是三天之后声称骨折 并说自己有社会关系是社会人,36,2020-08-26 17:32 
https://weibo.cn//u/2506476477,北川光明,男,上海,15543,2429,3598,目睹自己女友(也有说是同事)被猥亵，胡先生勇敢抓住违法者并报警等待警察到场。而对方却欲逃离，为阻其逃跑，情急之下胡将其踢倒。个人认为正是出于正当防卫，雷应该是惯犯在之前不知道伤害了多少无辜的女性。而胡先生出于义愤和正义将其控制不是替民除害了吗？地方公安及时纠错是一个进步！,11,2020-08-26 17:32 
https://weibo.cn//u/3932472823,碎花味冰淇淋,女,广东,588,79,116,舆论翻案，猥亵者要20万是不是勒索？办案黄警官和猥亵者是不是有利益关系？小胡垫付的一万块钱什么时候能要回来？,60,2020-08-26 17:32 
https://weibo.cn//u/2682855961,传说中的大博,男,广东,244,133,117,回复@衾梦烟:我怕给封号,1,2020-08-26 17:32 
https://weibo.cn//u/1698167647,圣灵左护法,男,其他,621,521,959,✨,1,2020-08-26 17:32 
https://weibo.cn//u/7384257642,伍迎培,女,河南,83,133,5,强奸猥亵不拘留，见义勇为要坐牢 川普推特治国，天朝微博办案 见义勇为是不可能的，做个沉默的路人还能活命,0,2020-08-26 17:30 
https://weibo.cn//u/6124027021,是薏米酱,女,其他,0,67,13,不知道公安收了那猥琐大叔多少钱,40,2020-08-26 17:30 
https://weibo.cn//u/5845555383,衾梦烟,女,海外,488,161,1079,回复@传说中的大博:哈哈哈哈，会说话就多说点,1,2020-08-26 17:29 
https://weibo.cn//u/5845555383,衾梦烟,女,海外,488,161,1079,回复@lzyhd623:我也觉得，有一有二，而且，说不定，之前也已经这么干过了,8,2020-08-26 17:29 
https://weibo.cn//u/2682855961,传说中的大博,男,广东,244,133,117,回复@Junkman900:谢谢提供素材的不愿意透露姓名的人,0,2020-08-26 17:29 
https://weibo.cn//u/2682855961,传说中的大博,男,广东,244,133,117,回复@Junkman900:都是九年义务教育得好,0,2020-08-26 17:28 
https://weibo.cn//u/7042963270,丽水天好蓝,女,浙江,235,1130,145,坏人放开手脚的害人，见义勇为的人要畏手畏脚的救人，讽刺至极。,19,2020-08-26 17:28 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@是孟亦田:啥时候开始给自己女朋友出气算见义勇为了？,0,2020-08-26 17:27 
https://weibo.cn//u/5129154624,槍殺玩具熊,女,北京,56,31,149,回复@是孟亦田:已经分不清从什么时候起，舆论翻案成了给出正义的主要途径，当然，“正义”这个词也变得虚无缥缈起来,12,2020-08-26 17:26 
https://weibo.cn//u/5334782616,吕小雨得头发丝儿,男,福建,1970,1652,442,回复@包包脸Grace:没错，压不住了才会,0,2020-08-26 17:26 
https://weibo.cn//u/5576166844,韬光养神喝点茶,男,其他,258,129,44,你们东方今报工作人员能称为道德脊梁，加油！支持你们,24,2020-08-26 17:26 
https://weibo.cn//u/7306071390,今儿取什么名字呢,男,其他,3,64,4,不是说监控覆盖了吗,0,2020-08-26 17:25 
https://weibo.cn//u/7262572952,Junkman900,男,其他,406,162,3,回复@传说中的大博:结合实事，满分,0,2020-08-26 17:25 
https://weibo.cn//u/1294999243,阿伏伽德罗NA常数,女,北京,122,225,458,回复@传说中的大博:哈哈哈哈哈哈哈说的好！看得明白！,0,2020-08-26 17:25 
https://weibo.cn//u/7362614326,张小张199711,男,其他,17,56,1,男孩父亲说的社会人是谁？请答复一下,1,2020-08-26 17:25 
https://weibo.cn//u/6063635261,为什么在寻找,男,河南,25121,498,881,见义勇为被刑拘，不管你信不信，反正我是信了。,3,2020-08-26 17:23 
https://weibo.cn//u/5129384112,哆啦-刘梦,女,重庆,29,29,13,东方令报继续保持,2,2020-08-26 17:21 
https://weibo.cn//u/5453406844,soul1998953,男,其他,44,72,3,东方今报是个好博主，以后靠你们伸张正义！,2,2020-08-26 17:19 
https://weibo.cn//HARYATSING,HarYatSing昇,男,其他,4206,1162,1313,就按鬧分配唄，不把事情鬧大，這事大概就這麼過去了。,0,2020-08-26 17:18 
https://weibo.cn//u/6573727963,执笔镜意昔,男,广东,783,456,301,那个接受采访的民警跟弱智一样，打人就该被关，警察不管有没有缘由？你家人被猥亵甚至被奸，你还得保护犯罪分子？有这种民警多少案子得坏,34,2020-08-26 17:18 
https://weibo.cn//u/5057649626,我才没有偷吃小鱼干··,女,山东,911,226,158,鼓掌，法律与公序良俗应一致,1,2020-08-26 17:18 
https://weibo.cn//u/2682855961,传说中的大博,男,广东,244,133,117,我们需要优秀的人民群众参与，你居然真的敢参与？看我不刑拘你,108,2020-08-26 17:18 
https://weibo.cn//u/6474966085,什玖Zzz,男,其他,0,17,2,以后见义勇为钱  先摸摸口袋有没有20w,0,2020-08-26 17:18 
https://weibo.cn//u/6932725437,我们来日方长123456,男,其他,66,130,2,那个老色鬼，就这？ 没多大损失啊,1,2020-08-26 17:18 
https://weibo.cn//u/7118121041,是孟亦田,女,澳门,1128,304,17825,舆论翻案,131,2020-08-26 17:17 
https://weibo.cn//u/2009735171,lzyhd623,男,河南,209,327,185,冷水滩分局这批人不处分，以后还会这么干,195,2020-08-26 17:16 
https://weibo.cn//u/5333161443,景止beauty,女,其他,42,134,271,一展胸中闷气,2,2020-08-26 17:16 
https://weibo.cn//u/2178418343,包包脸Grace,女,广东,1898,320,204,感觉就是舆论闹大了才会处理咯,74,2020-08-26 17:16 
